TYPENAME,TYPEID,GROUPID
#System,0,0
Corporation,2,2
Region,3,3
Constellation,4,4
Solar System,5,5
Sun G5 (Yellow),6,6
Sun K7 (Orange),7,6
Sun K5 (Red Giant),8,6
Sun B0 (Blue),9,6
Sun F0 (White),10,6
Planet (Temperate),11,7
Planet (Ice),12,7
Planet (Gas),13,7
Moon,14,8
Asteroid Belt,15,9
Stargate (Caldari System),16,10
Stargate (Amarr Constellation),17,10
Plagioclase,18,458
Spodumain,19,461
Kernite,20,457
Hedbergite,21,454
Arkonor,22,450
Cargo Container,23,12
Ring,24,13
Corpse Male,25,14
Office Folder,26,16
Office,27,16
Factory Folder,28,16
Credits,29,17
Faction,30,19
Tritanium,34,18
Pyerite,35,18
Mexallon,36,18
Isogen,37,18
Nocxium,38,18
Zydrine,39,18
Megacyte,40,18
Garbage,41,280
Spiced Wine,42,280
Antibiotics,43,280
Enriched Uranium,44,1034
Frozen Plant Seeds,45,281
Player Kill,49,24
Company Shares,50,24
Bookmark,51,24
Trading,52,94
Trade Session,53,95
Caldari Logistics Station,54,15
Gallente Military Station,56,15
Gallente Station Hub,57,15
C-O-1,58,15
C-O-2,59,15
Asset Safety Wrap,60,1319
Clone Grade Alpha,164,23
Clone Grade Beta,165,23
Clone Grade Gamma,166,23
Carbonized Lead S,178,83
Nuclear S,179,83
Proton S,180,83
Depleted Uranium S,181,83
Titanium Sabot S,182,83
Fusion S,183,83
Phased Plasma S,184,83
EMP S,185,83
Carbonized Lead M,186,83
Nuclear M,187,83
Proton M,188,83
Depleted Uranium M,189,83
Titanium Sabot M,190,83
Fusion M,191,83
Phased Plasma M,192,83
EMP M,193,83
Carbonized Lead L,194,83
Nuclear L,195,83
Proton L,196,83
Depleted Uranium L,197,83
Titanium Sabot L,198,83
Fusion L,199,83
Phased Plasma L,200,83
EMP L,201,83
Mjolnir Cruise Missile,202,386
Scourge Cruise Missile,203,386
Inferno Cruise Missile,204,386
Nova Cruise Missile,205,386
Nova Heavy Missile,206,385
Mjolnir Heavy Missile,207,385
Inferno Heavy Missile,208,385
Scourge Heavy Missile,209,385
Scourge Light Missile,210,384
Inferno Light Missile,211,384
Mjolnir Light Missile,212,384
Nova Light Missile,213,384
Iron Charge S,215,85
Tungsten Charge S,216,85
Iridium Charge S,217,85
Lead Charge S,218,85
Thorium Charge S,219,85
Uranium Charge S,220,85
Plutonium Charge S,221,85
Antimatter Charge S,222,85
Iron Charge M,223,85
Tungsten Charge M,224,85
Iridium Charge M,225,85
Lead Charge M,226,85
Thorium Charge M,227,85
Uranium Charge M,228,85
Plutonium Charge M,229,85
Antimatter Charge M,230,85
Iron Charge L,231,85
Tungsten Charge L,232,85
Iridium Charge L,233,85
Lead Charge L,234,85
Thorium Charge L,235,85
Uranium Charge L,236,85
Plutonium Charge L,237,85
Antimatter Charge L,238,85
Radio S,239,86
Microwave S,240,86
Infrared S,241,86
Standard S,242,86
Ultraviolet S,243,86
Xray S,244,86
Gamma S,245,86
Multifrequency S,246,86
Radio M,247,86
Microwave M,248,86
Infrared M,249,86
Standard M,250,86
Ultraviolet M,251,86
Xray M,252,86
Gamma M,253,86
Multifrequency M,254,86
Radio L,255,86
Microwave L,256,86
Infrared L,257,86
Standard L,258,86
Ultraviolet L,259,86
Xray L,260,86
Gamma L,261,86
Multifrequency L,262,86
Cap Booster 25,263,87
Cap Booster 50,264,87
Heavy Defender Missile I,265,1158
Scourge Rocket,266,387
Scourge Torpedo,267,89
Mjolnir Auto-Targeting Light Missile I,269,394
Python Mine,270,92
Small Shield Extender I,377,38
Small Shield Extender II,380,38
Shield Recharger I,393,39
Shield Recharger II,394,39
Small Shield Booster I,399,40
Small Shield Booster II,400,40
Micro' Remote Shield Booster,405,41
Micro Remote Shield Booster II,406,41
Basic' Capacitor Recharger,421,43
5MN Microwarpdrive I,434,46
1MN Afterburner II,438,46
1MN Afterburner I,439,46
5MN Microwarpdrive II,440,46
Cargo Scanner I,442,47
Ship Scanner I,443,48
Survey Scanner I,444,49
Warp Scrambler I,447,52
Warp Scrambler II,448,52
Gatling Pulse Laser I,450,53
Dual Light Pulse Laser I,451,53
Dual Light Beam Laser I,452,53
Small Focused Pulse Laser I,453,53
Small Focused Beam Laser I,454,53
Quad Light Beam Laser I,455,53
Focused Medium Pulse Laser I,456,53
Focused Medium Beam Laser I,457,53
Heavy Pulse Laser I,458,53
Heavy Beam Laser I,459,53
Dual Heavy Pulse Laser I,460,53
Dual Heavy Beam Laser I,461,53
Mega Pulse Laser I,462,53
Mega Beam Laser I,463,53
Tachyon Beam Laser I,464,53
Miner II,482,54
Miner I,483,54
125mm Gatling AutoCannon I,484,55
150mm Light AutoCannon I,485,55
200mm AutoCannon I,486,55
250mm Light Artillery Cannon I,487,55
280mm Howitzer Artillery I,488,55
Dual 180mm AutoCannon I,489,55
220mm Vulcan AutoCannon I,490,55
425mm AutoCannon I,491,55
650mm Artillery Cannon I,492,55
720mm Howitzer Artillery I,493,55
Dual 425mm AutoCannon I,494,55
Dual 650mm Repeating Cannon I,495,55
800mm Repeating Cannon I,496,55
1200mm Artillery Cannon I,497,55
1400mm Howitzer Artillery I,498,55
Light Missile Launcher I,499,509
Heavy Missile Launcher I,501,510
Torpedo Launcher I,503,508
Basic' Capacitor Power Relay,506,767
Basic' Shield Flux Coil,508,770
Basic' Capacitor Flux Coil,509,768
Basic' Gyrostabilizer,518,59
Gyrostabilizer II,519,59
Gyrostabilizer I,520,59
Basic' Damage Control,521,60
Micro' Cap Battery,522,61
Small Armor Repairer I,523,62
Small Hull Repairer I,524,63
Stasis Webifier I,526,65
Stasis Webifier II,527,65
Small Remote Capacitor Transmitter I,529,67
Small Energy Nosferatu I,530,68
Small Energy Neutralizer I,533,71
75mm Gatling Rail I,561,74
Light Electron Blaster I,562,74
Light Ion Blaster I,563,74
Light Neutron Blaster I,564,74
150mm Railgun I,565,74
Heavy Electron Blaster I,566,74
Dual 150mm Railgun I,567,74
Heavy Neutron Blaster I,568,74
Heavy Ion Blaster I,569,74
250mm Railgun I,570,74
Electron Blaster Cannon I,571,74
Dual 250mm Railgun I,572,74
Neutron Blaster Cannon I,573,74
425mm Railgun I,574,74
Ion Blaster Cannon I,575,74
Medium Capacitor Booster I,577,76
Multispectrum Shield Hardener I,578,77
Burst Jammer I,580,80
Passive Targeter I,581,82
Bantam,582,25
Condor,583,25
Griffin,584,25
Slasher,585,25
Probe,586,25
Rifter,587,25
Reaper,588,237
Executioner,589,25
Inquisitor,590,25
Tormentor,591,25
Navitas,592,25
Tristan,593,25
Incursus,594,25
Gallente Police Ship,595,25
Impairor,596,237
Punisher,597,25
Breacher,598,25
Burst,599,25
Minmatar Peacekeeper Ship,600,25
Ibis,601,237
Kestrel,602,25
Merlin,603,25
Heron,605,25
Velator,606,237
Imicus,607,25
Atron,608,25
Maulus,609,25
Devourer,613,25
Fury,614,25
Immolator,615,237
Medusa,616,25
Echo,617,237
Lynx,618,25
Swordspine,619,25
Osprey,620,26
Caracal,621,26
Stabber,622,26
Moa,623,26
Maller,624,26
Augoror,625,26
Vexor,626,26
Thorax,627,26
Arbitrator,628,26
Rupture,629,26
Bellicose,630,26
Scythe,631,26
Blackbird,632,26
Celestis,633,26
Exequror,634,26
Opux Luxury Yacht,635,26
Raven,638,27
Tempest,639,27
Scorpion,640,27
Megathron,641,27
Apocalypse,642,27
Armageddon,643,27
Typhoon,644,27
Dominix,645,27
Badger,648,28
Tayra,649,28
Nereus,650,28
Hoarder,651,28
Mammoth,652,28
Wreathe,653,28
Kryos,654,28
Epithal,655,28
Miasmos,656,28
Iteron Mark V,657,28
Capsule,670,29
Erebus,671,30
Caldari Shuttle,672,31
Clone Grade Beta Blueprint,681,104
Clone Grade Gamma Blueprint,682,104
Bantam Blueprint,683,105
Condor Blueprint,684,105
Griffin Blueprint,685,105
Osprey Blueprint,686,106
Caracal Blueprint,687,106
Raven Blueprint,688,107
Slasher Blueprint,689,105
Probe Blueprint,690,105
Rifter Blueprint,691,105
Stabber Blueprint,692,106
Tempest Blueprint,693,107
Miner II Blueprint,784,134
Miner I Blueprint,785,134
Light Missile Launcher I Blueprint,786,136
Heavy Missile Launcher I Blueprint,788,136
